Site,Volume,Page(s),Type,Area,Cult age,Age max [ka],Age dated min [ka],Age [ka BP],Longitude,Latitude
P029042,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.571,36.487
P029043,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.569,36.503
P029044,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.593,36.485
P029045,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.593,36.471
P029046,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.619,36.487
P029047,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.623,36.475
P029048,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.614,36.47
P029049,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.626,36.462
P029050,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.642,36.46
P029051,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.642,36.474
P029052,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.638,36.486
P029053,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.654,36.44
P029054,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.667,36.434
P029055,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.672,36.453
P029056,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.689,36.455
P029057,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.685,36.442
P029058,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.706,36.436
P029059,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.748,36.408
P029060,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.716,36.524
P029061,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.703,36.539
P029062,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.695,36.553
P029063,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.676,36.551
P029064,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.76,36.422
P029065,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.721,36.39
P029066,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.673,36.356
P029067,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.681,36.346
P029068,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.673,36.337
P029069,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.679,36.321
P029070,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.667,36.313
P029071,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.654,36.31
P029072,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.734,36.346
P029073,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.733,36.333
P029074,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.736,36.319
P029075,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.747,36.309
P029076,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.755,36.321
P029077,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.767,36.33
P029078,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.772,36.316
P029079,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.769,36.303
P029080,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.704,36.321
P029081,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.716,36.31
P029082,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.675,36.299
P029083,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.674,36.288
P029084,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.666,36.28
P029085,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.646,36.288
P029086,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.708,36.283
P029087,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.696,36.276
P029088,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.704,36.267
P029089,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.702,36.258
P029090,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.683,36.256
P029091,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.715,36.244
P029092,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.673,36.227
P029093,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.664,36.216
P029094,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.631,36.229
P029095,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.629,36.219
P029096,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.617,36.207
P029097,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.747,36.266
P029098,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.763,36.255
P029099,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.774,36.25
P029100,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.757,36.245
P029101,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.756,36.236
P029102,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.77,36.232
P029103,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.764,36.222
P029104,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.776,36.22
P029105,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.761,36.21
P029106,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.759,36.199
P029107,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.774,36.206
P029108,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.753,36.228
P029109,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.75,36.219
P029110,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.746,36.209
P029111,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.74,36.2
P029112,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.73,36.191
P029113,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.714,36.193
P029114,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.751,36.182
P029115,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.743,36.174
P029116,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.715,36.166
P029117,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.69,36.181
P029118,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.658,36.148
P029119,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.675,36.148
P029120,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.696,36.15
P029121,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.674,36.136
P029122,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.66,36.132
P029123,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.674,36.121
P029124,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.698,36.12
P029125,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.773,36.119
P029126,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.774,36.109
P029127,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.763,36.1
P029128,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.772,36.089
P029129,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.625,36.317
P029130,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.607,36.311
P029131,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.598,36.298
P029132,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.61,36.302
P029133,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.624,36.303
P029134,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.553,36.283
P029135,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.571,36.28
P029136,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.584,36.262
P029137,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.565,36.19
P029138,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.573,36.2
P029139,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.603,36.193
P029140,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.604,36.182
P029141,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.619,36.195
P029142,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.621,36.185
P029143,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.799,36.346
P029144,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.791,36.319
P029145,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.797,36.244
P029146,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.813,36.312
P029147,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.814,36.291
P029148,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.813,36.28
P029149,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.812,36.266
P029150,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.808,36.256
P029151,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.851,36.325
P029152,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.866,36.315
P029153,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.849,36.309
P029154,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.863,36.301
P029155,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.891,36.3
P029156,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.879,36.289
P029157,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.895,36.28
P029158,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.904,36.271
P029159,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.811,36.197
P029160,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.817,36.213
P029161,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.822,36.203
P029162,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.837,36.211
P029163,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.87,36.172
P029164,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.87,36.159
P029165,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.813,36.149
P029166,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.819,36.157
P029167,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.832,36.148
P029168,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.85,36.146
P029169,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.863,36.142
P029170,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.844,36.134
P029171,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.833,36.109
P029172,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.834,36.097
P029173,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.853,36.117
P029174,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.867,36.108
P029175,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.86,36.091
P029176,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.869,36.073
P029177,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.876,36.087
P029178,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.882,36.116
P029179,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.888,36.11
P029180,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.894,36.125
P029181,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.904,36.197
P029182,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.915,36.207
P029183,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.925,36.214
P029184,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.996,36.209
P029185,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.977,36.205
P029186,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.967,36.194
P029187,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.955,36.18
P029188,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.945,36.175
P029189,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.936,36.17
P029190,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.944,36.163
